test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_010608	XLOC_010608	VIT_15s0046g02410	15:19192836-19196086	Red_FruitPeel	White_FruitPeel	OK	2.28788	61.407	4.74632	9.87023	0.00005	0.000248658	yes
XLOC_026173	XLOC_026173	CER8	7:4265493-4272065	Red_FruitPeel	White_FruitPeel	OK	0.296904	7.97273	4.747	7.83344	0.00005	0.000248658	yes
XLOC_014121	XLOC_014121	VIT_18s0001g14130	18:12179523-12181667	Red_FruitPeel	White_FruitPeel	OK	0.160245	4.36984	4.76923	3.25098	0.01705	0.0435596	yes
XLOC_024716	XLOC_024716	VIT_06s0004g07070	6:7819270-7823818	Red_FruitPeel	White_FruitPeel	OK	0.451668	12.4903	4.78941	8.49067	0.00005	0.000248658	yes
XLOC_006557	XLOC_006557	VIT_13s0019g01990	13:3298345-3300289	Red_FruitPeel	White_FruitPeel	OK	0.171087	4.76761	4.80046	4.28675	0.01515	0.0395218	yes
XLOC_008696	XLOC_008696	VIT_14s0036g00100	14:9519293-9524235	Red_FruitPeel	White_FruitPeel	OK	0.217881	6.08673	4.80406	7.40135	0.00005	0.000248658	yes
XLOC_014001	XLOC_014001	VIT_18s0001g11430	18:9725990-9731525	Red_FruitPeel	White_FruitPeel	OK	0.512033	14.5507	4.82871	9.17081	0.00005	0.000248658	yes
XLOC_026192	XLOC_026192	VIT_07s0005g02220	7:4589048-4605897	Red_FruitPeel	White_FruitPeel	OK	2.7071	78.079	4.85012	6.54279	0.00005	0.000248658	yes
XLOC_020804	XLOC_020804	VIT_04s0023g02430	4:18983615-18984767	Red_FruitPeel	White_FruitPeel	OK	0.443663	13.1041	4.88441	6.2235	0.00015	0.000683796	yes
XLOC_004667	XLOC_004667	VIT_12s0034g01140	12:17072726-17073476	Red_FruitPeel	White_FruitPeel	OK	7.29581	216.817	4.89326	15.6396	0.00005	0.000248658	yes
XLOC_014667	XLOC_014667	VIT_18s0001g03640	18:3417126-3418012	Red_FruitPeel	White_FruitPeel	OK	2.56025	77.2356	4.91491	7.97126	0.00005	0.000248658	yes
XLOC_029098	XLOC_029098	VIT_09s0070g00710	9:14301657-14302838	Red_FruitPeel	White_FruitPeel	OK	1.29306	39.1899	4.92162	8.81119	0.00005	0.000248658	yes
XLOC_012725	XLOC_012725	VIT_17s0000g07950	17:8922763-8924925	Red_FruitPeel	White_FruitPeel	OK	0.469126	15.171	5.01519	7.17838	0.00005	0.000248658	yes
XLOC_004727	XLOC_004727	VIT_12s0034g02250	12:18677352-18680821	Red_FruitPeel	White_FruitPeel	OK	0.106837	3.70656	5.1166	4.42616	0.00275	0.00914054	yes
XLOC_017345	XLOC_017345	VIT_19s0027g01890	19:22163197-22166657	Red_FruitPeel	White_FruitPeel	OK	0.266593	10.3186	5.27446	5.12446	0.0001	0.000471836	yes
XLOC_011137	XLOC_011137	VIT_16s0022g00670	16:12049398-12054187	Red_FruitPeel	White_FruitPeel	OK	4.07715	159.252	5.28761	23.4643	0.00005	0.000248658	yes
XLOC_010558	XLOC_010558	BAG6	15:18496034-18501256	Red_FruitPeel	White_FruitPeel	OK	1.85726	74.5915	5.32776	22.9418	0.00005	0.000248658	yes
XLOC_026549	XLOC_026549	VIT_07s0031g01680	7:17778942-17780654	Red_FruitPeel	White_FruitPeel	OK	0.113605	4.66872	5.36093	4.788	0.01515	0.0395218	yes
